,index,Ebook ID,Author,Title,Credits,Summary,Language,Library of Congress Classification,Category,EBook-No.,Release Date,Most Recently Updated,Copyright Status,Downloads,Subjects
0,0,8600,"Zola, Émile, 1840-1902",L'Assommoir,"John Bickers, Dagny and David Widger","""L'Assommoir"" by Émile Zola is a novel written during the late 19th century, an era characterized by the realism movement in literature. The book explores the struggles of Gervaise, a laundress trying to build a life for herself and her children amidst the oppressive and often brutal conditions of working-class Paris. The story highlights themes of poverty, domestic strife, and the impact of alcoholism on individuals and families.  The opening of ""L'Assommoir"" presents Gervaise in a state of despair, anxiously awaiting the return of Lantier, her partner, who has been increasingly unfaithful and irresponsible. The narrative depicts her emotional turmoil as she reflects on their meager living conditions and the struggles of single motherhood. Gervaise's observations of the bustling street below reveal the harsh realities faced by workers in the city, and through her interactions with Lantier, the text illustrates the complexities of love, frustration, and survival in a difficult social environment. The chapter sets the stage for the unfolding of Gervaise's life, marked by hope yet overshadowed by the challenges of her circumstances and her relationships. (This is an automatically generated summary.)",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",Text,8600,"Apr 27, 2006","Sep 15, 2022",Public domain in the USA.,455 downloads in the last 30 days.,"Domestic fiction, Married women -- Fiction, Paris (France) -- Fiction, Working class women -- Fiction"
1,1,8601,"Tennyson, Alfred Tennyson, Baron, 1809-1892",The Early Poems of Alfred Lord Tennyson,"Produced by Jonathan Ingram, Clytie Siddall, Charles Franks,and the Online Distributed Proofreading Team","""The Early Poems of Alfred Lord Tennyson"" by John Churton Collins is a critical collection of Tennyson's poetry that explores works from his early career, likely written in the early to mid-19th century. This edition not only presents the poems themselves but also includes a critical introduction, commentaries, various readings, and notes that guide readers through Tennyson's development as a poet. The text delves into thematic explorations of love, nature, and the human condition, showcasing Tennyson's style and craftsmanship in verse.  The opening portion outlines the significance of Tennyson's early poetry within the context of English literature. It begins with a preface that emphasizes the need for a critical edition of Tennyson's poems, highlighting his enduring status as a classic author. The introduction elaborates on the evolution of Tennyson's genius, articulating the poetry's trajectory from his youthful beginnings to the more mature expressions found in later works. Notable early verses, such as ""Claribel"" and ""Mariana,"" reveal Tennyson’s knack for lyrical beauty and emotional depth. Collins details how these poems represent a blend of ambition and formative style, offering insights into Tennyson's thematic concerns and masterful language, providing readers with groundwork for understanding Tennyson as both a poet and a vital literary figure. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,8601,"Aug 1, 2005","Jun 21, 2020",Public domain in the USA.,603 downloads in the last 30 days.,English poetry -- 19th century
2,2,8602,"Riddell, J. H., Mrs., 1832-1906",The Uninhabited House,"Produced by Suzanne Shell, Martin Agren, Charles Franksand the Online Distributed Proofreading Team. HTML versionby Al Haines.","""The Uninhabited House"" by Mrs. J. H. Riddell is a novel written during the late 19th century, probably in the Victorian era. The story revolves around a peculiar residence that seems to bring trouble to its occupants and the tenants who encounter its mysteries. Central to the narrative are Miss Blake and her niece, Miss Helena Elmsdale, who are caught in the ongoing challenges associated with their property, amid a backdrop filled with themes of ghostly suspicions, financial woes, and family ties.  The opening of the novel introduces the reader to the enchanting yet troublesome Uninhabited House, which has left a lasting impression on the lawyer's office of Mr. Craven, where the narrative unfolds. The narrative is portrayed through the eyes of a clerk, who grapples with the eccentricities of Miss Blake, her financial difficulties, and her niece's situation. As tenants come and go, often citing strange occurrences, Mr. Craven’s firm struggles to address the complaints while managing Miss Blake’s expectations. The initial chapters explore the relationships between the characters, tackling themes of sympathy, financial obligation, and the persistence of the past, setting a vivid scene for the unfolding mysteries of the house. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,8602,"Aug 1, 2005","Apr 10, 2014",Public domain in the USA.,90 downloads in the last 30 days.,"Ghost stories, English fiction -- 19th century"
3,4,8604,"Aeschylus, 526 BCE-457 BCE","The House of Atreus; Being the Agamemnon, the Libation bearers, and the Furies","Ted Garvin, Lorna Hanrahan, Charles Franks, and the Online Distributed Proofreading Team","""The House of Atreus; Being the Agamemnon, the Libation-Bearers, and the Furies"" by Aeschylus is a collection of Greek tragedies written in the 5th century BC. This collection delves deep into the themes of revenge, justice, and the tragic downfall of a royal family, focusing particularly on Agamemnon, his wife Clytemnestra, and their tumultuous relations within the cursed House of Atreus.   The opening of the work sets a somber tone as it introduces the Watchman, who, weary from waiting for news of the Trojan War, anxiously anticipates the signal of Agamemnon's return. He expresses hope that the beacon flames will signal victory, bringing joy to Argos. Clytemnestra, Agamemnon’s wife, soon joins and kindles fires, revealing that Troy has fallen. The Chorus, comprised of older men, reflects on the devastating war and the personal costs it has inflicted. As the Herald arrives, he brings news of victory, but also hints at the personal tragedies that will inevitably follow, setting the stage for the unfolding drama characterized by betrayal, vengeance, and the weighing of fate against free will. (This is an automatically generated summary.)",English,PA: Language and Literatures: Classical Languages and Literature,Text,8604,"Aug 1, 2005","Jun 19, 2023",Public domain in the USA.,210 downloads in the last 30 days.,"Agamemnon, King of Mycenae (Mythological character) -- Drama, Orestes, King of Argos (Mythological character) -- Drama"
4,5,8605,"Cooke, George Willis, 1848-1923",Unitarianism in America: A History of its Origin and Development,"Produced by David Starner, Christopher Lund, Charles Franksand the Online Distributed Proofreading Team","""Unitarianism in America: A History of its Origin and Development"" by George Willis Cooke is a historical account written in the early 20th century. The book explores the origins of Unitarianism in the United States, including its development, organizational structures, and impact on American society. It discusses the theological controversies that led to Unitarianism's emergence and highlights the practical aspects of the faith, such as its various charities and social reforms.  The opening of the book sets the stage for an in-depth examination of Unitarianism's beginnings, tracing its roots back to English philosophical movements like individualism and rationalism during the Renaissance and Reformation. Cooke outlines how these ideas influenced early American Puritanism and contributed to the growth of liberal religious thought in New England. He expresses a clear intent to provide a candid account for those unfamiliar with Unitarianism, emphasizing its attempt to harmonize religion with modern philosophy and science while acknowledging its historical challenges and influences. (This is an automatically generated summary.)",English,"BX: Philosophy, Psychology, Religion: Christianity: Churches, Church movements",Text,8605,"Aug 1, 2005","Apr 4, 2014",Public domain in the USA.,78 downloads in the last 30 days.,Unitarianism -- United States
5,6,8606,"Maeterlinck, Maurice, 1862-1949",The Blue Bird: A Fairy Play in Six Acts,"Text file produced by Charles Aldarondo, Tiffany Vergon, CharlesFranks and the Online Distributed Proofreading TeamHTML file produced by David Widger","""The Blue Bird: A Fairy Play in Six Acts"" by Maurice Maeterlinck is a whimsical fairy play crafted during the late 19th century. The story follows two children, Tyltyl and Mytyl, on a magical quest to find the elusive Blue Bird of happiness, guided by the mysterious Fairy Bérylune. Their journey leads them through enchanting realms filled with personified elements, animals, and memories, exploring the themes of happiness, love, and the true meaning of fulfillment.  At the start of the play, we are introduced to Tyltyl and Mytyl in their humble woodcutter's cottage, where they are captivated by the sights and sounds of a Christmas celebration happening nearby. The scene is set with warmth and innocence, as the children express disappointment about not receiving gifts from Father Christmas. Their adventure begins when the fairy appears, asking them to find the Blue Bird she desperately needs for her sick daughter. The children are entranced by the idea and, despite their initial hesitations, they prepare to embark on a magical journey with the fairy’s guidance, promising encounters with the fantastical realms of Memory and Happiness along the way. (This is an automatically generated summary.)",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",Text,8606,"Aug 1, 2005","May 16, 2024",Public domain in the USA.,590 downloads in the last 30 days.,"Fairy plays, French drama -- Translations into English"
6,7,8607,"Traill, Catharine Parr Strickland, 1802-1899","In the Forest; Or, Pictures of Life and Scenery in the Woods of Canada: A Tale","Produced by Juliet Sutherland, John R. Bilderback, Charles Franks, and the Online Distributed Proofreading Team. This file was produced from images generously made available by the Canadian Institute for Historical Microreproductions","""In the Forest; Or, Pictures of Life and Scenery in the Woods of Canada: A Tale"" by Mrs. Traill is a children's fiction book written in the late 19th century. The narrative, rich with descriptions of forest life, explores the experiences of young Lady Mary, the Governor's daughter, as she engages with her environment and her pet flying squirrel, as well as learning about Canadian wildlife and indigenous culture through her conversations with her nurse, Mrs. Frazer.  The opening of the tale introduces Lady Mary and her curiosity about nature, specifically focusing on her new pet, a flying squirrel. As she interacts with her nurse, they discuss various aspects of the animal's life, including its diet and the dangers in the wild, such as wolves and other predators. The text sets a whimsical tone, blending factual wildlife information with imaginative storytelling, allowing young readers to be enchanted by the beauty of the Canadian woods while learning about the creatures that inhabit them. The chapter hints at adventures to come, as Lady Mary prepares to learn more about her surroundings and her animal companion. (This is an automatically generated summary.)",English,PZ: Language and Literatures: Juvenile belles lettres,Text,8607,"Aug 1, 2005","Apr 10, 2013",Public domain in the USA.,67 downloads in the last 30 days.,"Animals -- Juvenile fiction, Conduct of life -- Juvenile fiction, Children -- Conduct of life -- Juvenile fiction, Indian embroidery -- North America -- Juvenile fiction"
7,11,8599,"Dixon, E.",Fairy Tales from the Arabian Nights,Produced by Wendy Crockett and JC Byers,"""Fairy Tales from the Arabian Nights"" by E. Dixon is a collection of fantastical stories likely edited and abridged in the late 19th century. This series includes enchanting tales that delve into themes of love, magic, and adventure in a richly imagined world inspired by Middle Eastern folklore. The stories feature a variety of characters, including kings, queens, and magical beings, with central narratives revolving around figures like Prince Beder and Queen Gulnare.  The opening portion introduces a captivating tale about a King of Persia who, after a year of silence from his beautiful slave-turned-queen, discovers her tragic backstory and her royal lineage. The tale unfolds as King Beder is presented, revealing his destined encounters and adventures in seeking love and confronting magical challenges, including transformations and royal quests. The text sets a tone of mystery and allure, drawing readers into the world of fantastical beings and complex relationships while highlighting the theme of loyalty and the struggle for identity amidst enchantment. (This is an automatically generated summary.)",English,PZ: Language and Literatures: Juvenile belles lettres,Text,8599,"Jul 1, 2005","Dec 26, 2020",Public domain in the USA.,112 downloads in the last 30 days.,"Arabs -- Folklore, Tales -- Arab countries, Fairy tales -- Arab countries"
8,13,1,"Jefferson, Thomas, 1743-1826",The Declaration of Independence of the United States of America,,"""The Declaration of Independence of the United States of America"" by Thomas Jefferson is a historic and foundational document penned in the late 18th century during the American Revolutionary period. This work primarily serves as a formal statement declaring the thirteen American colonies' separation from British rule, asserting their right to self-governance and independence. It encapsulates the philosophical underpinnings of democracy, highlighting fundamental human rights and the social contract between the government and the governed.  The text begins with a powerful introduction that outlines the principles of equality and the unalienable rights of individuals to life, liberty, and the pursuit of happiness. It details the various grievances against King George III, illustrating how his actions have eroded the colonists' rights and justified their decision to seek independence. By listing these grievances, the document seeks to assert the colonies' legitimate claim to self-determination. The Declaration culminates in a solemn proclamation of independence, stating that the colonies are entitled to be free and independent states, free from British authority and capable of forming their own alliances, levying war, and engaging in commerce. The Declaration's closing emphasizes the signers' mutual pledge to support this cause, reinforcing the commitment of the colonists to their newly proclaimed liberty. (This is an automatically generated summary.)",English,JK: Political science: Political inst. and pub. Admin.: United States,Text,1,"Dec 1, 1971","Jan 28, 2021",Public domain in the USA.,2080 downloads in the last 30 days.,"United States -- History -- Revolution, 1775-1783 -- Sources, United States. Declaration of Independence"
9,14,2,United States,The United States Bill of RightsThe Ten Original Amendments to the Constitution of the United States,,"""The United States Bill of Rights"" by United States is a foundational legal document, crafted in the late 18th century during the period of the early republic. It consists of the first ten amendments to the United States Constitution and serves as a crucial protection of individual liberties and rights. The book outlines specific prohibitions on governmental power, addressing the rights of citizens and the parameters within which the government can operate.  The Bill of Rights establishes essential freedoms, including the freedom of speech, the right to bear arms, protections against unreasonable searches, and the right to fair legal proceedings. Each amendment articulates fundamental rights, such as the protection from self-incrimination and guarantees of a speedy trial, which are designed to ensure justice and equity. It emphasizes the significance of civil liberties and sets limits on governmental authority, reinforcing the principle that certain rights are inherent to the people and cannot be infringed upon. Overall, the document is pivotal in defining the relationship between the state and its citizens, serving as a cornerstone of American democracy. (This is an automatically generated summary.)",English,"KF: Law in general, Comparative and uniform law, Jurisprudence: United States",Text,2,"Dec 1, 1972","Apr 1, 2015",Public domain in the USA.,770 downloads in the last 30 days.,"Civil rights -- United States -- Sources, United States. Constitution. 1st-10th Amendments"
